"","x"
"373","Up to 75% Off Macy's Ultimate Pop-Up Sale https://t.co/C63bhJuZt3 via @DealsPlus"
"374","Cuisinart DLC-2A Food Processor, Mini Prep Plus – Food Processors – Kitchen – Macy’s https://t.co/A0lzLQtYIH https://t.co/vpCi8UD7xW"
"375","How down market. RT @PioneerPress: New name for old St. Paul Macy’s: Treasure Island Center https://t.co/jTW5nleeO8 https://t.co/mGRiRn3sDA"
"376","Macy's is having a Pop-Up sale through tomorrow and there are lots of great deals to be found.... https://t.co/NEIKabaJM7"
"377","Macy's, Sears, &amp; JCPenney Closing 250+ Stores: Don't Ignore the Elephant in the Room
https://t.co/HrSRoQ3qyz on"
"378","New name for old St. Paul Macy’s: Treasure Island Center https://t.co/sRkR26WF4q https://t.co/DfcPLZxo3k"
"379","Macy’s Inc (M) Receives “Market Perform” Rating from Cowen and Company https://t.co/b9AqGQP6sY"
"380","Macy’s Inc $M Receives “Market Perform” Rating from Cowen and Company https://t.co/o8ItlVCZgf"
"381","RT @ArianaGrande: tune in to Macy's Front Row on 9/15 on E! @macys Thank you for having me <ed><U+00A0><U+00BD><ed><U+00B2><U+009B>"
"382","$PVH $M:

Tommy Hilfiger Looks to Technology as It Combats Macy’s Decline:

https://t.co/O7ac2soCWn"
"383","Macy’s Hires Toys ‘R’ Us Executive Lennox as Marketing Chief - https://t.co/paLcccPsm7 https://t.co/iLbgUvovoW"
"384","RT @Macys: Starting Tues, the first 100 people to make a $100 GUESS purchase at Macy’s NYC will get to meet @joejonas on 3/2 <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> https://t.co…"
"385","RT @TradeHootz: Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"386","RT @TradeHootz: Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"387","RT @TradeHootz: Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"388","RT @TradeHootz: Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"389","RT @TradeHootz: Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"390","RT @TradeHootz: Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"391","RT @TradeHootz: Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"392","RT @TradeHootz: Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"393","RT @TradeHootz: Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"394","RT @TradeHootz: Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"395","RT @TradeHootz: Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"396","Red Dress Collection Presented by Macy’s https://t.co/leyjZcGlFT #socialmedia https://t.co/OwCvuAA3Up"
"397","Red Dress Collection Presented by Macy's https://t.co/FKXoYLeNSq"
"398","RT @romanticwedd: Please RT #weddings #brides Newly Engaged&amp;quot; Enter For a Chance to Win 15k at Macy?s! https://t.co/3S0qy4J7bN https://…"
"399","RT @jobbojcom: Sunglass Hut @ Macy's - Sales Consultant - Luxottica Group - Valencia, CA https://t.co/2zXI7owFS2 #job #career #jobsearch #j…"
"400","Sunglass Hut @ Macy's - Sales Consultant - Luxottica Group - Valencia, CA https://t.co/2zXI7owFS2 #job #career #jobsearch #jobs #USA"
"401","Please RT #weddings #brides Newly Engaged&amp;quot; Enter For a Chance to Win 15k at Macy?s! https://t.co/3S0qy4J7bN https://t.co/Hyn6LvNfbP"
"402","RT @Genroe: Net Promoter News: Macy’s, T-Mobile, KPN &amp; Brillio https://t.co/sVoVLazoQY  via @CustomerGauge"
"403","RT @Macys: Starting Tues, the first 100 people to make a $100 GUESS purchase at Macy’s NYC will get to meet @joejonas on 3/2 <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> https://t.co…"
"404","J.C. PENNEY AND MACY’S ARE TURNING AMERICA’S MALLS INTO GHOST TOWNS   https://t.co/adwuiArB6x"
"405","wiselatinaslink: RT speedytomatoes: Macys Just cancelled Macy's AmEx too. Supporting Trump family=boycott  Got it??  #GrabYourWallet"
"406","RT @speedytomatoes: @Macys Just cancelled Macy's AmEx too. Supporting Trump family=boycott  Got it??  #GrabYourWallet"
"407","RT @Macys: Starting Tues, the first 100 people to make a $100 GUESS purchase at Macy’s NYC will get to meet @joejonas on 3/2 <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> https://t.co…"
"408","#Macys Former #acys in downtown St. Paul to be renamed Treasure Island Center. Read more: https://t.co/pbslSaBiOQ $M"
"409","Ventura Macy's shoplifter struggles-assaults LP Agent https://t.co/xpr99k7vXi https://t.co/5zRSUHty0i"
"410","RT @Macys: Starting Tues, the first 100 people to make a $100 GUESS purchase at Macy’s NYC will get to meet @joejonas on 3/2 <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> https://t.co…"
"411","@Macys items shipped to Ohio instead of Niagara falls NY. Macy's says i would have to pick up items at ups store in Ohio. Unfair- ur mistake"
"412","43 Must-Read Macy's Store Hacks - https://t.co/sA8XIII22E"
"413","Treasure Island buys naming rights to St. Paul Macy’s site https://t.co/kuPamWVngD"
"414","RT @Macys: Starting Tues, the first 100 people to make a $100 GUESS purchase at Macy’s NYC will get to meet @joejonas on 3/2 <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> https://t.co…"
"415","Red Dress Collection Presented by Macy’s #dentalmarketing https://t.co/aVAd6OW1rr"
"416","New name for old St. Paul Macy's: Treasure Island Center https://t.co/xMx0MhKFgt via @pioneerpress"
"417","New name for old St. Paul Macy's: Treasure Island Center https://t.co/wKYnvUFg4o via @pioneerpress"
"418","If you're looking for work in #Honolulu, HI, check out this #job: https://t.co/Y8IVMyWsVP #Sales #Hiring #CareerArc"
"419","T.J. Maxx Demolished Macy's During the Holidays https://t.co/gq08CaI2mQ"
"420","RT @tmj_hon_retail: We're #hiring! Read about our latest #job opening here: **Retail Sales** Full Time: Honolulu, HI, Macy's Ala... - https…"
"421","We're #hiring! Read about our latest #job opening here: **Retail Sales** Full Time: Honolulu, HI, Macy's Ala... - https://t.co/GouWO76YQd"
"422","RT @Macys: Starting Tues, the first 100 people to make a $100 GUESS purchase at Macy’s NYC will get to meet @joejonas on 3/2 <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> https://t.co…"
"423","RT @Macys: Starting Tues, the first 100 people to make a $100 GUESS purchase at Macy’s NYC will get to meet @joejonas on 3/2 <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> https://t.co…"
"424","RT @Macys: Starting Tues, the first 100 people to make a $100 GUESS purchase at Macy’s NYC will get to meet @joejonas on 3/2 <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> https://t.co…"
"425","RT @FrederickMelo: UPDATED: No, there will not be a casino in downtown St. Paul. New name for old StP Macy's: Treasure Island Center https:…"
"426","RT @FrederickMelo: UPDATED: No, there will not be a casino in downtown St. Paul. New name for old StP Macy's: Treasure Island Center https:…"
"427","RT @FrederickMelo: UPDATED: No, there will not be a casino in downtown St. Paul. New name for old StP Macy's: Treasure Island Center https:…"
"428","Join the Macy's Retail team! See our latest #job opening here: https://t.co/TQmZ7Zlbfo #Retail #Honolulu, HI #Hiring #CareerArc"
"429","See our latest #Honolulu, HI #job and click to apply: **Retail Cosmetics Sales - Counter Manager Bare... - https://t.co/vzP8Firbua #Sales"
"430","RT @PioneerPress: New name for old #StPaul Macy’s: Treasure Island Center, after naming rights sold https://t.co/tvyqJx9GLi https://t.co/ne…"
"431","We're #hiring! Click to apply: Asset Protection / Loss Prevention Detective, Full Time: San Francisco, CA,... - https://t.co/V8IBmiTTSp"
"432","Interested in a #job in #Honolulu, HI? This could be a great fit: https://t.co/7TZtYc6s1l #Retail #Hiring #CareerArc"
"433","I just added this to my closet on Poshmark: <ed><U+00A0><U+00BD><ed><U+00B2><U+009C>Flowy Macy's blue dress <ed><U+00A0><U+00BD><ed><U+00B2><U+009C> skater tiered. https://t.co/awc0osfP9Y via @poshmarkapp #shopmycloset"
"434","We're #hiring! Click to apply: Retail Sales, Full Time: Baldwin Hills, CA, Macy's Baldwin Hills Crenshaw Plaza - https://t.co/fewV9Ihbq5"
"435","Interested in a #job in #Kahului, HI? This could be a great fit: https://t.co/MzVZ0asf4i #Sales #Hiring #CareerArc"
"436","RT @PioneerPress: New name for old #StPaul Macy’s: Treasure Island Center, after naming rights sold https://t.co/tvyqJx9GLi https://t.co/ne…"
"437","If you're looking for work in #DalyCity, CA, check out this #job: https://t.co/gIlSyDvKqT #Finance #Hiring #CareerArc"
"438","Want to work in #Honolulu, HI? View our latest opening: https://t.co/CMebuCXSeM #FacilitiesMgmt #Job #Jobs #Hiring #CareerArc"
"439","Interested in a #job in #CoeurDAlene, ID? This could be a great fit: https://t.co/zv8d24hKRL #Sales #Hiring #CareerArc"
"440","Hedge fund boss: Macy's needs a 'miracle worker' - https://t.co/C7Ys4STApY https://t.co/NLfKBpUs4n"
"441","Want to work in #Hillsboro, OR? View our latest opening: https://t.co/f4ZooAXwNM #Retail #Job #Jobs #Hiring #CareerArc"
"442","Can you recommend anyone for this #job? Asset Protection / Loss Prevention Detective, Full Time: Escondido,... - https://t.co/4slBnr1vx7"
"443","We're #hiring! Read about our latest #job opening here: Retail Support - Receiving, Part Time: Lynnwood, WA,... - https://t.co/GQoiLyaEid"
"444","Net Promoter News: Macy’s, T-Mobile, KPN &amp; Brillio https://t.co/sVoVLazoQY  via @CustomerGauge"
"445","Want to work at Macy's Retail? We're #hiring in #SantaMaria, CA! Click for details: https://t.co/UH07cvXoPJ #Finance #Job #Jobs #CareerArc"
"446","Join the Macy's Retail team! See our latest #job opening here: https://t.co/jsaBfVjCmN #Retail #Lynnwood, WA #Hiring #CareerArc"
"447","RT @lovingffashion: Please RT #fashion #style A LITTLE PEEK INTO MACY'S &amp; LOOKMAZING'S CYBER MONDAY SALE! https://t.co/LnUBsrJ9eD https://t…"
"448","List of Macy's stores closing https://t.co/QxQXyh9tiB #retail #sales"
"449","Interested in a #job in #CoeurDAlene, ID? This could be a great fit: https://t.co/zWnjoODpKO #Retail #Hiring #CareerArc"
"450","I just added this to my closet on Poshmark: Macy's INC brand dress. https://t.co/bqdIycU6LU via @poshmarkapp #shopmycloset"
"451","RT @nbcchicago: Amid speculation, Macy's says Walnut Room is 'staying' https://t.co/9cFbkkinst"
"452","This #job might be a great fit for you: **Asset Protection / Loss Prevention Detective** Full Time:... - https://t.co/UT6xmbSqvp #Finance"
"453","If you're looking for work in #Visalia, CA, check out this #job: https://t.co/rSnzjC2qds #Finance #Hiring #CareerArc"
"454","We're #hiring! Read about our latest #job opening here: **Retail Cosmetics Sales - Beauty Advisor** Flex:... - https://t.co/FYz5eZJico"
"455","Macy's says it has to think differently. Like, say, a grocery store, where many customers come every day. #retailing https://t.co/QCuMKGyQMK"
"456","RT @RockstarEmperor: Find best deals at Macy's Super Saturday Sale. Enter #SUPERMacys Giveaway to win Gift Cards. https://t.co/sHh3Ql6uvV v…"
"457","Join the Macy's Retail team! See our latest #job opening here: https://t.co/QLDk6zE3I1 #Retail #Lynnwood, WA #Hiring #CareerArc"
"458","Macy's Clearance Jewelry Under $25 (up to 75% Off) - https://t.co/aSLYhVl5MB https://t.co/AvJ2lITCHq"
"459","Want to work at Macy's Retail? We're #hiring in #Honolulu, HI! Click for details: https://t.co/WkPQogFfgR #Finance #Job #Jobs #CareerArc"
"460","We're #hiring! Read about our latest #job opening here: Asset Protection / Loss Prevention Security Guard,... - https://t.co/DhPvkTpt48"
"461","Want to work in #UnionCity, CA? View our latest opening: https://t.co/CxXKSzv7Ul #SupplyChain #Job #Jobs #Hiring #CareerArc"
"462","#hiring! Click to apply: Retail Selling Floor Lead, Full Time: Carbondale, IL, Macy's University - https://t.co/va3DyGt2by… -via @JobLocate"
"463","Interested in a #job in #SantaBarbara, CA? This could be a great fit: https://t.co/FGi0QgXfAc #Sales #Hiring #CareerArc"
"464","#hiring! Click to apply: Retail Selling Floor Lead, Full Time: Carbondale, IL, Macy's University - https://t.co/nM8p7MaLyN… via @JobLocate"
"465","If you're looking for work in #Lihue, HI, check out this #job: https://t.co/E5NcEdIfOI #Finance #Hiring #CareerArc"
"466","Red Dress Collection Presented by Macy’s - https://t.co/44Tv3QRZP3 https://t.co/dnyJSXb2Qx"
"467","Want to work at Macy's Beauty? We're #hiring in #Stockton, CA! Click for details: https://t.co/sSYp1P7U3R #Sales #Job #Jobs #CareerArc"
"468","Can you recommend anyone for this #job in #Pleasanton, CA? https://t.co/1VsZRRzHe0 #Sales #Hiring #CareerArc"
"469","We're #hiring! Read about our latest #job opening here: **Retail Cosmetics Sales - Counter Manager Chanel**... - https://t.co/orodBVmfyo"
"470","Join the Macy's Retail team! See our latest #job opening here: https://t.co/VGpwyrMhc5 #Finance #Redmond, WA #Hiring #CareerArc"
"471","Want to work at Macy's Retail? We're #hiring in #Roseville, MN! Click for details: https://t.co/sWNLKUb2Xw #Retail #Job #Jobs #CareerArc"
"472","#Macys The Only Way to Pack for Spring Break. Read Blog: https://t.co/C4P5PAOuPo $M"
"473","Join the Macy's Retail team! See our latest #job opening here: https://t.co/2aAmdLixtj #Retail #Franklin, TN #Hiring #CareerArc"
"474","#Macys Behind the Scenes with Fashion Designer Yigal Azrouël. Read Blog: https://t.co/IoBuLln89o $M"
"475","#Macys #acys Fashion Directors on Spring's Must Haves. Read Blog: https://t.co/W1JML2bTnS $M"
"476","We're #hiring! Read about our latest #job opening here: Macy's Washington Square: Business Manager Clinique - https://t.co/A8MLyJ8O4U"
"477","This #job might be a great fit for you: Asset Protection / Loss Prevention Detective, Full Time: San Diego,... - https://t.co/nMOeRnDeDd"
"478","#hiring! Click to apply: Retail Selling Floor Lead, Full Time: Carbondale, IL, Macy's University - https://t.co/A3KbvlO0L8  #Retail"
"479","We're #hiring! Click to apply: Retail Selling Floor Lead, Full Time: Carbondale, IL, Macy's University - https://t.co/G2ew9hA3SZ #Retail"
"480","Want to work in #Tucson, AZ? View our latest opening: https://t.co/BTKC798jf4 #Retail #Job #Jobs #Hiring #CareerArc"
"481","Want to work in #Austin, TX? View our latest opening: https://t.co/IkjXrtSUgt #Retail #Job #Jobs #Hiring #CareerArc"
"482","Want to work at Macy's Retail? We're #hiring in #Honolulu, HI! Click for details: https://t.co/OrovVop0jN #Retail #Job #Jobs #CareerArc"
"483","Can you recommend anyone for this #job? Asset Protection / Loss Prevention Detective, Full Time: Las Vegas,... - https://t.co/3PnPZdmH0M"
"484","This #job might be a great fit for you: Asset Protection / Loss Prevention Detective, Full Time: Union Gap,... - https://t.co/ZFEK7IGHbC"
"485","We're #hiring! Click to apply: Asset Protection / Loss Prevention Security Guard, Full Time: San Antonio,... - https://t.co/GqvDXAnbdT"
"486","Xmas #GiftCard #Gift MACY'S MACYS MACY Gift Card $300 FREE SHIPPING NO RESERVE https://t.co/dEgVFeYOrC #GiftCards… https://t.co/ilq6ROsGNs"
"487","Interested in a #job in #Pleasanton, CA? This could be a great fit: https://t.co/T8KbLs053r #Sales #Hiring #CareerArc"
"488","See our latest #StCloud, MN #job and click to apply: Retail Sales - Men's Clothing, Full Time: St. Cloud,... - https://t.co/dPIsI3VgSU"
"489","RT @Macys: Starting Tues, the first 100 people to make a $100 GUESS purchase at Macy’s NYC will get to meet @joejonas on 3/2 <ed><U+00A0><U+00BD><ed><U+00B3><U+00B8> https://t.co…"
"490","RT @PioneerPress: New name for old #StPaul Macy’s: Treasure Island Center, after naming rights sold https://t.co/tvyqJx9GLi https://t.co/ne…"
"491","Want to work in #SanAntonio, TX? View our latest opening: https://t.co/nMl8fzxmBJ #Sales #Job #Jobs #Hiring #CareerArc"
"492","Can you recommend anyone for this #job? Retail Cosmetics Sales - Beauty Advisor Clinique, Full Time:... - https://t.co/ElQXAt3Kx7 #Sales"
"493","This #job might be a great fit for you: Macy's Palm Desert Mall: Business Manager Estee Lauder - https://t.co/8BM9udfPHF #PalmDesert, CA"
"494","New name for old #StPaul Macy’s: Treasure Island Center, after naming rights sold https://t.co/tvyqJx9GLi https://t.co/ne3i81r55j"
"495","We're #hiring! Click to apply: Retail Support - Receiving, Flex: San Antonio, TX, Macy's Shops At La Cantera - https://t.co/sMBdS7FjZn"
"496","Can you recommend anyone for this #job? Retail Cosmetics Sales - Beauty Advisor Shiseido, Full Time: El... - https://t.co/r4b7kZwrLn #Sales"
"497","We're #hiring! Read about our latest #job opening here: Retail Pricing Associate, Flex: Houston, TX, Macy's... - https://t.co/yKIOo83pmc"
"498","Want to work in #Hayward, CA? View our latest opening: https://t.co/lkMTT7t8uZ #Retail #Job #Jobs #Hiring #CareerArc"
"499","RT @cfo: Macy's cuts costs and see profits soar. https://t.co/teiLArbU5K https://t.co/rGioTnNffi"
"500","RT @FrederickMelo: UPDATED: No, there will not be a casino in downtown St. Paul. New name for old StP Macy's: Treasure Island Center https:…"
"501","Join the Macy's Retail team! See our latest #job opening here: https://t.co/5uzuGJdSF6 #FacilitiesMgmt #Littleton, CO #Hiring #CareerArc"
"502","Can you recommend anyone for this #job? Retail Cosmetics Sales - Beauty Advisor Elizabeth Arden, Part Time:... - https://t.co/RYhQCT16CU"
"503","Interested in a #job in #Dallas, TX? This could be a great fit: https://t.co/YGZCcS12FQ #Retail #Hiring #CareerArc"
"504","Interested in a #job in #Seattle, WA? This could be a great fit: https://t.co/NRCs2Svzvj #Finance #Hiring #CareerArc"
"505","Macy's cuts costs and see profits soar. https://t.co/teiLArbU5K https://t.co/rGioTnNffi"
"506","This #job might be a great fit for you: Retail Sales - Furniture/Bedding, Flex: Roseville, MN, Macy's... - https://t.co/1hBtXrQm6k #Retail"
"507","Join the Macy's Beauty team! See our latest #job opening here: https://t.co/zACQOlxGo5 #Sales #Spokane, WA #Hiring #CareerArc"
"508","Hedge Fund boss Macy's needs a 'miracle worker' https://t.co/wFQptAHCsD https://t.co/2re1Nm9HDw"
"509","We're #hiring! Read about our latest #job opening here: **Retail Sales - Fragrances** Full Time: Honolulu,... - https://t.co/OwMMRmQ4gZ"
"510","If you're looking for work in #ThousandOaks, CA, check out this #job: https://t.co/4yQe9JOVQ4 #Finance #Hiring #CareerArc"
"511","Want to work in #SiouxFalls, SD? View our latest opening: https://t.co/rssUwTDol4 #Retail #Job #Jobs #Hiring #CareerArc"
"512","Interested in a #job in #Denton, TX? This could be a great fit: https://t.co/GLbpQFVchZ #Finance #Hiring #CareerArc"
"513","Want to work in #SiouxFalls, SD? View our latest opening: https://t.co/KpD3TNWGR8 #Retail #Job #Jobs #Hiring #CareerArc"
"514","This #job might be a great fit for you: Retail Estee Lauder &amp; Clinique Cosmetic Business Leader, Full Time:... - https://t.co/XNvwaz7ZnP"
"515","We're #hiring! Read about our latest #job opening here: Retail Support - Receiving Team Lead, Full Time:... - https://t.co/kF1GaBikIx"
"516","Can you recommend anyone for this #job in #Arlington, VA? https://t.co/FCorO0XU4J #Retail #Hiring #CareerArc"
"517","If you're looking for work in #Roseville, MN, check out this #job: https://t.co/8oA3yLWr9L #Retail #Hiring #CareerArc"
"518","Want to work at Macy's Retail? We're #hiring in #SterlingHeights, MI! Click for details: https://t.co/5tEknxHkku #Clerical #Job #Jobs"
"519","RT @MPRnews: Treasure Island buys naming rights for old St. Paul Macy's building
https://t.co/eLLRc5AqK0 https://t.co/UPkXxh5E8y"
"520","Want to work in #Springfield, VA? View our latest opening: https://t.co/kcCYga67lb #Retail #Job #Jobs #Hiring #CareerArc"
"521","This #job might be a great fit for you: Retail Support Team, Flex: Atlanta, GA, Macy's Perimeter - https://t.co/7cpCbqotFd #Atlanta, GA"
"522","We're #hiring! Read about our latest #job opening here: Retail Pricing Associate, Flex: Farmington, CT,... - https://t.co/XQ4BpfaQ15"
"523","If you're looking for work in #TerreHaute, IN, check out this #job: https://t.co/vw4FWe3XVR #Sales #Hiring #CareerArc"
"524","This #job might be a great fit for you: Retail Sales - Fragrances, Part Time: White Plains, NY, Macy's White... - https://t.co/rev0nIqds9"
"525","Want to work in #Fargo, ND? View our latest opening: https://t.co/JCDsPBdkCX #Retail #Job #Jobs #Hiring #CareerArc"
"526","Join the Macy's Beauty team! See our latest #job opening here: https://t.co/rLFjW0dW8Y #Sales #Tracy, CA #Hiring #CareerArc"
"527","Can you recommend anyone for this #job in #Woodbridge, NJ? https://t.co/mT6wcXt4OM #Finance #Hiring #CareerArc"
"528","New name for old St. Paul Macy's: Treasure Island Center https://t.co/JVnu1JkF5t by @FrederickMelo @pioneerpress"
"529","This #job might be a great fit for you: **Asset Protection / Loss Prevention Security Guard** Part Time: San... - https://t.co/12PyBDHmva"
"530","Join the Macy's Retail team! See our latest #job opening here: https://t.co/7mkuN9HmQS #Retail #Pleasanton, CA #Hiring #CareerArc"
"531","See our latest #Arcadia, CA #job and click to apply: Macy's Santa Anita: Estee Lauder Business Manager - https://t.co/eUR9IXWv4D #Sales"
"532","We're #hiring! Click to apply: **Retail Cosmetics Sales - Beauty Advisor Estee Lauder/Clinique** Full Time:... - https://t.co/BkICieLdUD"
"533","Want to work in #LosAngeles, CA? View our latest opening: https://t.co/3cwZbxJASN #Retail #Job #Jobs #Hiring #CareerArc"
"534","Join the Macy's Retail team! See our latest #job opening here: https://t.co/4XidE92Gba #Sales #Metairie, LA #Hiring #CareerArc"
"535","Want to work in #Cincinnati, OH? View our latest opening: https://t.co/2mKwrpWizi #Sales #Job #Jobs #Hiring #CareerArc"
"536","We're #hiring! Read about our latest #job opening here: Retail Pricing Associate, Part Time: Lynnwood, WA,... - https://t.co/EZGRJ1a2Pc"
"537","Interested in a #job in #Maplewood, MN? This could be a great fit: https://t.co/Kgm02Fkf8K #Retail #Hiring #CareerArc"
"538","We're #hiring! Read about our latest #job opening here: Asset Protection / Loss Prevention Detective, Part... - https://t.co/iU16uz5FEK"
"539","Join the Macy's Retail team! See our latest #job opening here: https://t.co/kuZ3hmuEhE #Marketing #NewYork, NY #Hiring #CareerArc"
"540","Join the Macy's Retail team! See our latest #job opening here: https://t.co/z147dIVmsa #Retail #SanAntonio, TX #Hiring #CareerArc"
"541","Can you recommend anyone for this #job? Macy's Mall At Greece Ridge Center: Receiving Team Manager - https://t.co/zrWjOUmwwv #Rochester, NY"
"542","Want to work in #SanDiego, CA? View our latest opening: https://t.co/ecSM4Se1tZ #Sales #Job #Jobs #Hiring #CareerArc"
"543","Interested in a #job in #LosAngeles, CA? This could be a great fit: https://t.co/Wl2LzYEfbJ #Retail #Hiring #CareerArc"
"544","This #job might be a great fit for you: Retail Pricing Associate, Flex: Union Gap, WA, Macy's Valley Mall... - https://t.co/ygmaTyqjMQ"
"545","See our latest #PembrokePines, FL #job and click to apply: Retail Visual Merchandiser, Full Time: Pembroke... - https://t.co/wPgb6bZedj"
"546","This #job might be a great fit for you: Asset Protection / Loss Prevention Detective, Full Time: Memphis,... - https://t.co/YXmSByd9pL"
"547","Join the Macy's Retail team! See our latest #job opening here: https://t.co/7lzgsYCI1j #Finance #CanogaPark, CA #Hiring #CareerArc"
"548","Nordstrom to target struggling malls when considering closures as JC Penney, Macy's axe stores https://t.co/yQyntLObQu"
"549","Can you recommend anyone for this #job? Asset Protection / Loss Prevention Security Guard, Full Time:... - https://t.co/AeuLe7IK9D #Finance"
"550","If you're looking for work in #Plano, TX, check out this #job: https://t.co/LwlYPq3cwQ #Sales #Hiring #CareerArc"
"551","If you're looking for work in #DalyCity, CA, check out this #job: https://t.co/h2vjLy98KE #Sales #Hiring #CareerArc"
"552","Can you recommend anyone for this #job in #Phoenix, AZ? https://t.co/BXoqsIGiIT #Retail #Hiring #CareerArc"
"553","RT @FrederickMelo: UPDATED: No, there will not be a casino in downtown St. Paul. New name for old StP Macy's: Treasure Island Center https:…"
"554","Can you recommend anyone for this #job in #WallaWalla, WA? https://t.co/pejnrb7KD1 #Retail #Hiring #CareerArc"
"555","Can you recommend anyone for this #job? Asset Protection / Loss Prevention Detective, Full Time: Bay Shore,... - https://t.co/zOa0zhoPWD"
"556","Want to work at Macy's Retail? We're #hiring in #Fairfield, CA! Click for details: https://t.co/GQEB7dAogF #Retail #Job #Jobs #CareerArc"
"557","Want to work at Macy's Retail? We're #hiring in #UnionCity, CA! Click for details: https://t.co/2JpdP6YWRr #Retail #Job #Jobs #CareerArc"
"558","This #job might be a great fit for you: Retail Cosmetics Sales - Counter Manager IMPULSE, Full Time: Santa... - https://t.co/1cFgqvbTZ8"
"559","We're #hiring! Read about our latest #job opening here: Macy's **Retail Support Signing Team Associate**... - https://t.co/d7YcxGZtTH"
"560","If you're looking for work in #Columbia, SC, check out this #job: https://t.co/gHEdVYeHXm #Retail #Hiring #CareerArc"
"561","We're #hiring! Click to apply: Retail Sales - Fragrance RSS Associate Dolce &amp; Gabbana, Part Time:... - https://t.co/Tia0DGBF8N #Sales #Job"
"562","We're #hiring! Click to apply: Retail Selling Floor Lead, Full Time: Mesquite, TX, Macy's Town East Mall - https://t.co/mxl9KKWY20 #Retail"
"563","Want to work at Macy's Retail? We're #hiring in #Atlanta, GA! Click for details: https://t.co/mQCZjsYeXx #Retail #Job #Jobs #CareerArc"
"564","If you're looking for work in #FortCollins, CO, check out this #job: https://t.co/AiPuOs3QZ6 #Retail #Hiring #CareerArc"
"565","Want to work in #Plano, TX? View our latest opening: https://t.co/xj45t4QmoD #Sales #Job #Jobs #Hiring #CareerArc"
"566","We're #hiring! Read about our latest #job opening here: Retail Commission Sales, Full Time: San Francisco,... - https://t.co/TISx9KfLGN"
"567","Can you recommend anyone for this #job in #Arlington, TX? https://t.co/dPcNJQ1ceZ #Finance #Hiring #CareerArc"
"568","Join the Macy's Beauty team! See our latest #job opening here: https://t.co/qaMyVctpYD #Sales #Grandville, MI #Hiring #CareerArc"
"569","Can you recommend anyone for this #job in #Amherst, NY? https://t.co/Jsf7scfbZ2 #Sales #Hiring #CareerArc"
"570","Want to work in #Murray, UT? View our latest opening: https://t.co/1A3DuhgwzO #Retail #Job #Jobs #Hiring #CareerArc"
"571","Can you recommend anyone for this #job in #OrlandPark, IL? https://t.co/4KVgVfqv02 #Sales #Hiring #CareerArc"
"572","Why TJX Is Winning Customers, In Sharp Contrast To Macy's https://t.co/wV8ZpWuRyb"
"573","Want to work in #Honolulu, HI? View our latest opening: https://t.co/Sst6KWdofO #Retail #Job #Jobs #Hiring #CareerArc"
"574","Can you recommend anyone for this #job in #LosAngeles, CA? https://t.co/ojxItw3y6f #Retail #Hiring #CareerArc"
"575","Want to work in #Lewisville, TX? View our latest opening: https://t.co/uiMLvYRlb8 #Retail #Job #Jobs #Hiring #CareerArc"
"576","Can you recommend anyone for this #job? Retail Commission Sales, Part Time: White Plains, NY, Macy's White... - https://t.co/pEUA6ULPHt"
"577","We're #hiring! Read about our latest #job opening here: **Asset Protection / Loss Prevention Detective**... - https://t.co/HfZtgkt8dA"
"578","Want to work in #Flint, MI? View our latest opening: https://t.co/unwZFuyeWe #Finance #Job #Jobs #Hiring #CareerArc"
"579","Can you recommend anyone for this #job in #Savannah, GA? https://t.co/6vJ9HWXJx8 #Sales #Hiring #CareerArc"
"580","RT @MPRnews: Treasure Island buys naming rights for old St. Paul Macy's building
https://t.co/eLLRc5AqK0 https://t.co/UPkXxh5E8y"
